dataset,category,seed,fallback_budget,fast_only_auroc,risk_auroc,random_auroc,fast_score_auroc,uncertainty_auroc,fast_only_recall,risk_recall,random_recall,fast_score_recall,uncertainty_recall,risk_delta,risk_recall_delta,risk_minus_fast_score,risk_minus_uncertainty,fallback_rate,fallback_count,total
MVTec,cable,29,0.25,0.8000374812593704,0.8628185907046477,0.7218890554722639,0.8060344827586207,0.7683658170914542,0.33695652173913043,0.7608695652173914,0.2717391304347826,0.3695652173913043,0.33695652173913043,0.14092953523238383,0.48913043478260876,0.05678410794602706,0.09445277361319349,0.25333333333333335,38,150
MVTec,capsule,29,0.25,0.7391304347826086,0.6593538093338652,0.6924611088950937,0.7403270841643399,0.5580374950139609,0.25688073394495414,0.3944954128440367,0.25688073394495414,0.27522935779816515,0.2018348623853211,-0.03310729956122849,0.13761467889908258,-0.08097327483047467,0.10131631431990429,0.25,33,132
MVTec,carpet,29,0.25,0.5377207062600321,0.9606741573033708,0.5509630818619583,0.5770465489566613,0.6637239165329053,0.056179775280898875,0.9325842696629213,0.24719101123595505,0.20224719101123595,0.34831460674157305,0.4097110754414125,0.6853932584269662,0.3836276083467095,0.2969502407704655,0.2564102564102564,30,117
MVTec,grid,29,0.25,0.529657477025898,0.5923141186299081,0.5513784461152882,0.5396825396825397,0.5973266499582289,0.10526315789473684,0.2807017543859649,0.22807017543859648,0.14035087719298245,0.2982456140350877,0.040935672514619936,0.05263157894736842,0.052631578947368474,-0.005012531328320802,0.2564102564102564,20,78
MVTec,hazelnut,29,0.25,0.8985714285714286,0.99,0.7825,0.8985714285714286,0.9257142857142857,0.5714285714285714,0.9714285714285714,0.2714285714285714,0.5714285714285714,0.6714285714285714,0.20750000000000002,0.7,0.09142857142857141,0.06428571428571428,0.2545454545454545,28,110
MVTec,leather,29,0.25,0.9133831521739131,1.0,0.8284646739130435,0.9137228260869565,0.9296875,0.75,1.0,0.2826086956521739,0.75,0.7934782608695652,0.17153532608695654,0.7173913043478262,0.08627717391304346,0.0703125,0.25,31,124
MVTec,metal_nut,29,0.25,0.7996089931573802,0.9173998044965787,0.782991202346041,0.7996089931573802,0.6671554252199413,0.4838709677419355,0.8172043010752689,0.27956989247311825,0.4838709677419355,0.24731182795698925,0.13440860215053763,0.5376344086021506,0.11779081133919844,0.25024437927663734,0.25217391304347825,29,115
MVTec,pill,29,0.25,0.7733224222585925,0.6481178396072013,0.7064920894708129,0.7725040916530278,0.6535733769776323,0.3049645390070922,0.3049645390070922,0.1347517730496454,0.3049645390070922,0.20567375886524822,-0.058374249863611616,0.1702127659574468,-0.12438625204582654,-0.0054555373704310295,0.25149700598802394,42,167
MVTec,screw,29,0.25,0.5357655257224841,0.492723918835827,0.49395367903258863,0.5535970485755277,0.5894650543144087,0.04201680672268908,0.17647058823529413,0.10084033613445378,0.15126050420168066,0.18487394957983194,-0.0012297601967616312,0.07563025210084034,-0.060873129739700715,-0.09674113547858165,0.25,40,160
MVTec,tile,29,0.25,0.9004329004329005,0.9873737373737373,0.7698412698412699,0.9004329004329005,0.9004329004329005,0.6904761904761905,0.9880952380952381,0.2619047619047619,0.6904761904761905,0.6904761904761905,0.21753246753246747,0.7261904761904763,0.08694083694083687,0.08694083694083687,0.2564102564102564,30,117
MVTec,toothbrush,29,0.25,0.9722222222222222,0.9722222222222222,0.9166666666666666,0.9722222222222222,0.875,0.9333333333333333,0.9333333333333333,0.3333333333333333,0.9333333333333333,0.3,0.05555555555555558,0.6000000000000001,0.0,0.09722222222222221,0.2619047619047619,11,42
MVTec,transistor,29,0.25,0.82625,0.86875,0.7520833333333333,0.8266666666666667,0.6645833333333333,0.45,0.6,0.275,0.45,0.15,0.1166666666666667,0.32499999999999996,0.04208333333333336,0.20416666666666672,0.25,25,100
MVTec,wood,29,0.25,0.75,0.9815789473684211,0.6605263157894737,0.75,0.8061403508771929,0.48333333333333334,0.8833333333333333,0.25,0.48333333333333334,0.5833333333333334,0.32105263157894737,0.6333333333333333,0.2315789473684211,0.17543859649122817,0.25316455696202533,20,79
